"","","","",""
"","Khu Vực","Tỉnh","latitude","longitude"
"","North","Ha Noi","21.0245","105.8412"
"","North","Bac Kan","22.1333","105.8333"
"","North","Bac Giang","21.2731","106.1947"
"","North","Bac Ninh","21.1861","106.0763"
"","North","Cao Bang","22.6731","106.25"
"","North","Ha Giang","22.8233","104.9836"
"","North","Hung Yen","20.6464","106.0511"
"","North","Lai Chau","22.3991","103.4393"
"","North","Lang Son","21.8478","106.7578"
"","North","Lao Cai","22.4194","103.995"
"","North","Thai Nguyen","21.6","105.85"
"","North","Vinh Phuc","21.31","105.5967"
"","North","Ha Nam","20.5453","105.9122"
"","North","Hai Duong","20.9411","106.3331"
"","North","Hai Phong","20.8","106.6667"
"","North","Quang Ninh","20.95","107.0833"
"","North","Thai Binh","20.4461","106.3422"
"","North","Nam Dinh","20.42","106.1683"
"","North","Ninh Binh","20.2539","105.975"
"","North","Nghe An","18.6733","105.6922"
"","North","Thanh Hoa","19.8075","105.7764"
"","North","Ha Tinh","18.3428","105.9058"
"","North","Dien Bien","21.3833","103.0169"
"","North","Hoa Binh","20.8172","105.3375"
"","North","Phu Tho","21.3228","105.4019"
"","North","Son La","21.327","103.9141"
"","North","Tuyen Quang","21.8281","105.2156"
"","North","Yen Bai","21.7","104.8667"
"","Central","Dak Lak","12.6667","108.05"
"","Central","Khanh Hoa","12.25","109.1833"
"","Central","Dak Nong","12.0042","107.6907"
"","Central","Gia Lai","13.9833","108"
"","Central","Phu Yen","13.0875","109.3106"
"","Central","Da Nang","16.0748","108.224"
"","Central","Quang Nam","15.8733","108.3327"
"","Central","Binh Dinh","13.7765","109.2237"
"","Central","Quang Ngai","15.1206","108.7922"
"","Central","Kon Tum","14.3417","107.9792"
"","Central","Quang Binh","17.4833","106.6"
"","Central","Quang Tri","16.7504","107.2"
"","Central","Thua Thien Hue","16.4667","107.5833"
"","South","Binh Duong","11.0042","106.6583"
"","South","Ho Chi Minh","10.8167","106.6333"
"","South","Tay Ninh","11.3131","106.0963"
"","South","Ba Ria Vung Tau","10.4042","107.1417"
"","Central","Lam Dong","11.9359","108.4429"
"","South","Binh Thuan","10.9375","108.1583"
"","South","Binh Phuoc","11.6504","106.6"
"","Central","Ninh Thuan","11.5643","108.9886"
"","South","Dong Thap","10.4603","105.6331"
"","South","Tien Giang","10.35","106.35"
"","South","Ben Tre","10.2333","106.3833"
"","South","Soc Trang","9.6","105.9719"
"","South","Tra Vinh","9.9369","106.3411"
"","South","Vinh Long","10.255","105.9753"
"","South","An Giang","10.7","105.1167"
"","South","Can Tho","10.0333","105.7833"
"","South","Kien Giang","10.2289","103.9572"
"","South","Bac Lieu","9.2833","105.7167"
"","South","Ca Mau","9.1833","105.15"
"","South","Hau Giang","9.7833","105.4708"
"","South","Long An","10.5322","106.4042"
"","South","Dong Nai","10.9575","106.8426"
